age_,gender,workclass,education,marital-status,occupation,race,weekly houers,place,income
39, Male, State-gov, Bachelors, Never-married, Adm-clerical, White,40, United-States,0
50, Male, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White,13, United-States,0
38, Male, Private, HS-grad, Divorced, Handlers-cleaners, White,40, United-States,0
53, Male, Private, 11th, Married-civ-spouse, Handlers-cleaners, Black,40, United-States,0
28, Female, Private, Bachelors, Married-civ-spouse, Prof-specialty, Black,40, Cuba,0
37, Female, Private, Masters, Married-civ-spouse, Exec-managerial, White,40, United-States,0
49, Female, Private, 9th, Married-spouse-absent, Other-service, Black,16, Jamaica,0
52, Male, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, White,45, United-States,1
31, Female, Private, Masters, Never-married, Prof-specialty, White,50, United-States,1
42, Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,40, United-States,1
37, Male, Private, Some-college, Married-civ-spouse, Exec-managerial, Black,80, United-States,1
30, Male, State-gov, Bachelors, Married-civ-spouse, Prof-specialty, Asian-Pac-Islander,40, India,1
23, Female, Private, Bachelors, Never-married, Adm-clerical, White,30, United-States,0
32, Male, Private, Assoc-acdm, Never-married, Sales, Black,50, United-States,0
40, Male, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander,40, ?,1
34, Male, Private, 7th-8th, Married-civ-spouse, Transport-moving, Amer-Indian-Eskimo,45, Mexico,0
25, Male, Self-emp-not-inc, HS-grad, Never-married, Farming-fishing, White,35, United-States,0
32, Male, Private, HS-grad, Never-married, Machine-op-inspct, White,40, United-States,0
38, Male, Private, 11th, Married-civ-spouse, Sales, White,50, United-States,0
43, Female, Self-emp-not-inc, Masters, Divorced, Exec-managerial, White,45, United-States,1
40, Male, Private, Doctorate, Married-civ-spouse, Prof-specialty, White,60, United-States,1
54, Female, Private, HS-grad, Separated, Other-service, Black,20, United-States,0
35, Male, Federal-gov, 9th, Married-civ-spouse, Farming-fishing, Black,40, United-States,0
43, Male, Private, 11th, Married-civ-spouse, Transport-moving, White,40, United-States,0
59, Female, Private, HS-grad, Divorced, Tech-support, White,40, United-States,0
56, Male, Local-gov, Bachelors, Married-civ-spouse, Tech-support, White,40, United-States,1
19, Male, Private, HS-grad, Never-married, Craft-repair, White,40, United-States,0
54, Male, ?, Some-college, Married-civ-spouse, ?, Asian-Pac-Islander,60, South,1
39, Male, Private, HS-grad, Divorced, Exec-managerial, White,80, United-States,0
49, Male, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, United-States,0
23, Male, Local-gov, Assoc-acdm, Never-married, Protective-serv, White,52, United-States,0
20, Male, Private, Some-college, Never-married, Sales, Black,44, United-States,0
45, Male, Private, Bachelors, Divorced, Exec-managerial, White,40, United-States,0
30, Male, Federal-gov, Some-college, Married-civ-spouse, Adm-clerical, White,40, United-States,0
22, Male, State-gov, Some-college, Married-civ-spouse, Other-service, Black,15, United-States,0
48, Male, Private, 11th, Never-married, Machine-op-inspct, White,40, Puerto-Rico,0
21, Male, Private, Some-college, Never-married, Machine-op-inspct, White,40, United-States,0
19, Female, Private, HS-grad, Married-AF-spouse, Adm-clerical, White,25, United-States,0
31, Male, Private, Some-college, Married-civ-spouse, Sales, White,38, ?,1
48, Male, Self-emp-not-inc, Assoc-acdm, Married-civ-spouse, Prof-specialty, White,40, United-States,0
31, Male, Private, 9th, Married-civ-spouse, Machine-op-inspct, White,43, United-States,0
53, Male, Self-emp-not-inc, Bachelors, Married-civ-spouse, Prof-specialty, White,40, United-States,0
24, Male, Private, Bachelors, Married-civ-spouse, Tech-support, White,50, United-States,0
49, Female, Private, HS-grad, Separated, Adm-clerical, White,40, United-States,0
25, Male, Private, HS-grad, Never-married, Handlers-cleaners, White,35, United-States,0
57, Male, Federal-gov, Bachelors, Married-civ-spouse, Prof-specialty, Black,40, United-States,1
53, Male, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White,38, United-States,0
44, Female, Private, Masters, Divorced, Exec-managerial, White,40, United-States,0
41, Male, State-gov, Assoc-voc, Married-civ-spouse, Craft-repair, White,40, United-States,0
29, Male, Private, Assoc-voc, Never-married, Prof-specialty, White,43, United-States,0
25, Female, Private, Some-college, Married-civ-spouse, Exec-managerial, Other,40, United-States,0
18, Female, Private, HS-grad, Never-married, Other-service, White,30, ?,0
47, Female, Private, Prof-school, Married-civ-spouse, Prof-specialty, White,60, Honduras,1
50, Male, Federal-gov, Bachelors, Divorced, Exec-managerial, White,55, United-States,1
47, Male, Self-emp-inc, HS-grad, Divorced, Exec-managerial, White,60, United-States,0
43, Male, Private, Some-college, Married-civ-spouse, Tech-support, White,40, United-States,1
46, Male, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White,40, Mexico,0
35, Male, Private, Assoc-voc, Married-civ-spouse, Other-service, White,40, Puerto-Rico,0
41, Male, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,48, United-States,0
30, Male, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White,40, United-States,0
30, Male, Private, Bachelors, Married-civ-spouse, Sales, White,40, United-States,0
32, Male, ?, 7th-8th, Married-spouse-absent, ?, White,40, ?,0
48, Male, Private, HS-grad, Married-civ-spouse, Transport-moving, White,40, United-States,0
42, Male, Private, Doctorate, Married-civ-spouse, Prof-specialty, White,45, United-States,1
29, Male, Private, Some-college, Divorced, Tech-support, White,58, United-States,0
36, Male, Private, HS-grad, Married-civ-spouse, Craft-repair, White,40, United-States,0
28, Female, Private, Some-college, Divorced, Adm-clerical, White,40, United-States,0
53, Female, Private, HS-grad, Married-civ-spouse, Adm-clerical, White,40, United-States,1
49, Male, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, White,50, United-States,1
25, Male, ?, Some-college, Never-married, ?, White,40, United-States,0
19, Male, Private, Some-college, Never-married, Prof-specialty, White,32, United-States,0
31, Female, Private, Bachelors, Separated, Sales, Black,40, United-States,0
29, Male, Self-emp-not-inc, Bachelors, Married-civ-spouse, Sales, White,70, United-States,1
23, Male, Private, Some-college, Never-married, Machine-op-inspct, White,40, United-States,0
79, Male, Private, Some-college, Married-civ-spouse, Prof-specialty, White,20, United-States,0
27, Male, Private, HS-grad, Never-married, Other-service, White,40, Mexico,0
40, Male, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White,40, United-States,0
67, Male, ?, 10th, Married-civ-spouse, ?, White,2, United-States,0
18, Female, Private, 11th, Never-married, Other-service, White,22, United-States,0
31, Male, Local-gov, 7th-8th, Married-civ-spouse, Farming-fishing, White,40, United-States,0
18, Male, Private, HS-grad, Never-married, Sales, White,30, United-States,0
52, Male, Private, Bachelors, Married-civ-spouse, Other-service, White,40, Cuba,0
46, Female, Private, HS-grad, Married-civ-spouse, Other-service, White,40, United-States,0
59, Male, Private, HS-grad, Married-civ-spouse, Sales, White,48, United-States,0
44, Female, Private, HS-grad, Divorced, Craft-repair, White,40, United-States,1
53, Female, Private, HS-grad, Divorced, Sales, White,35, United-States,0
49, Male, Local-gov, HS-grad, Married-civ-spouse, Protective-serv, White,40, United-States,1
33, Male, Private, Masters, Married-civ-spouse, Prof-specialty, White,50, United-States,0
30, Male, Private, 9th, Never-married, Sales, White,40, United-States,0
43, Female, Federal-gov, Doctorate, Never-married, Prof-specialty, White,50, United-States,1
57, Male, Private, Assoc-voc, Married-civ-spouse, Prof-specialty, White,40, United-States,0
37, Female, Private, Some-college, Divorced, Craft-repair, White,40, United-States,0
28, Female, Private, Some-college, Divorced, Machine-op-inspct, Black,25, United-States,0
30, Female, Private, HS-grad, Married-civ-spouse, Sales, Asian-Pac-Islander,35, ?,0
34, Male, Local-gov, Bachelors, Married-civ-spouse, Protective-serv, White,40, United-States,1
29, Male, Local-gov, Some-college, Never-married, Handlers-cleaners, White,50, United-States,0
48, Male, Self-emp-not-inc, Doctorate, Married-civ-spouse, Prof-specialty, White,60, United-States,1
37, Male, Private, Some-college, Married-civ-spouse, Sales, White,48, United-States,1
48, Female, Private, Assoc-acdm, Divorced, Exec-managerial, White,40, England,0
32, Male, Federal-gov, HS-grad, Never-married, Other-service, Black,40, United-States,0
76, Male, Private, Masters, Married-civ-spouse, Exec-managerial, White,40, United-States,1
44, Male, Private, Bachelors, Married-civ-spouse, Exec-managerial, White,60, United-States,1
47, Female, Self-emp-not-inc, Masters, Never-married, Prof-specialty, White,50, United-States,0
20, Female, Private, Some-college, Never-married, Tech-support, White,40, United-States,0
29, Male, Private, HS-grad, Never-married, Craft-repair, White,40, United-States,0
32, Male, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, White,40, United-States,1
17, Female, ?, 10th, Never-married, ?, White,32, United-States,0
30, Male, Private, 11th, Never-married, Handlers-cleaners, White,40, United-States,0
